GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
microservicio4,com.nttdata.bootcamp.microservicio4.model,AccountType,56,0,0,0,4,0,12,0,12,0
microservicio4,com.nttdata.bootcamp.microservicio4.model,Customer,86,0,0,0,4,0,18,0,18,0
microservicio4,com.nttdata.bootcamp.microservicio4.model,TypeDocumentIdentity,26,0,0,0,4,0,6,0,6,0
microservicio4,com.nttdata.bootcamp.microservicio4.model,CreditType,46,0,0,0,4,0,10,0,10,0
microservicio4,com.nttdata.bootcamp.microservicio4.model,Account,86,0,0,0,4,0,18,0,18,0
microservicio4,com.nttdata.bootcamp.microservicio4.model,Transaction,88,0,0,0,6,0,17,0,17,0
microservicio4,com.nttdata.bootcamp.microservicio4.model,TransactionType,26,0,0,0,4,0,6,0,6,0
microservicio4,com.nttdata.bootcamp.microservicio4.model,Credit,96,0,0,0,4,0,20,0,20,0
microservicio4,com.nttdata.bootcamp.microservicio4.model,CustomerType,26,0,0,0,4,0,6,0,6,0
microservicio4,com.nttdata.bootcamp.microservicio4.expose,TransactionController,98,7,0,0,24,2,12,2,12,2
microservicio4,com.nttdata.bootcamp.microservicio4.business.impl,TransactionServiceImpl,106,3,0,0,30,1,14,1,14,1
microservicio4,com.nttdata.bootcamp.microservicio4,Microservicio4Application,5,3,0,0,2,1,1,1,1,1
microservicio4,com.nttdata.bootcamp.microservicio4.config,WebClientConfig,0,25,0,0,0,6,0,2,0,2
